symbol,targetweight,currentprice,currentqty,targetqty,action,actionqty,col_7,buy/sell_qty,price,value,col_11
CYIENT,0.05,1159.3,569,427,SELL,-142,-164620.6,-142,1138.0,-161596.0,427
JINDALSAW,0.05,314.05,1886,1577,SELL,-309,-97041.45,-309,305.5,-94399.5,1577
JINDALSTEL,0.05,1168.5,439,424,SELL,-15,-17527.5,-15,1146.0,-17190.0,424
PVRINOX,0.05,1229.0,432,403,SELL,-29,-35641.0,-29,1220.7,-35400.3,403
GESHIP,0.0,1335.3,348,0,SELL,-348,-464684.4,-348,1313.0,-456924.0,
HINDALCO,0.0,1028.5,493,0,SELL,-493,-507050.5,-493,1005.3,-495612.9,
KEC,0.0,420.45,1020,0,SELL,-1020,-428859.0,-1020,407.6,-415752.0,
NATIONALUM,0.0,375.8,1338,0,SELL,-1338,-502820.4,-1338,369.1,-493855.8,
OIL,0.0,489.95,1083,0,SELL,-1083,-530615.85,-1083,488.25,-528774.75,
UPL,0.0,567.5,786,0,SELL,-786,-446055.0,-786,563.05,-442557.3,
ZEEL,0.0,94.17,4990,0,SELL,-4990,-469908.3,-4990,91.98,-458980.2,
IDFCFIRSTB,0.05,85.0,5766,5828,BUY,62,5270.0,62,84.25,5223.5,5828
BANDHANBNK,0.05,164.0,0,3021,BUY,3021,495444.0,3021,159.94,483178.74,3021
CREDITACC,0.05,1371.1,313,361,BUY,48,65812.8,48,1386.9,66571.2,361
DEEPAKFERT,0.05,1430.5,309,346,BUY,37,52928.5,37,1423.0,52651.0,346
ELECON,0.05,416.9,0,1188,BUY,1188,495277.2,1188,410.1,487198.8,1188
GODREJPROP,0.05,1979.0,0,250,BUY,250,494750.0,250,1927.5,481875.0,250
GPIL,0.05,240.9,2018,2056,BUY,38,9154.2,38,241.65,9182.7,2056
JMFINANCIL,0.05,129.5,0,3825,BUY,3825,495337.5,3825,127.08,486081.0,3825
LLOYDSME,0.05,1803.7,238,275,BUY,37,66736.9,37,1785.9,66078.3,275
LTFOODS,0.05,441.25,0,1123,BUY,1123,495523.75,1123,435.6,489178.8,1123
MANAPPURAM,0.05,340.9,1342,1453,BUY,111,37839.9,111,334.05,37079.55,1453
NIACL,0.05,189.25,0,2618,BUY,2618,495456.5,2618,186.95,489435.1,2618
ONGC,0.05,235.15,2029,2107,BUY,78,18341.7,78,238.29,18586.62,2107
PCBL,0.05,320.2,1499,1547,BUY,48,15369.6,48,314.1,15076.8,1547
TATASTEEL,0.05,186.14,2585,2661,BUY,76,14146.64,76,182.27,13852.52,2661
YESBANK,0.05,22.2,0,22315,BUY,22315,495393.0,22315,21.9,488698.5,22315
