dr,cr,net,holding,p&l,nifty_performance,strategy_performance
1080618.24,0,-1080618.24,,,,
18951655.42,0,-20032273.66,,,1,
18951655.42,0,-20032273.66,19411044.0,-621229.66,0.9803154434,0.9689885596
18951655.42,0,-20032273.66,18628512.0,-1403761.66,0.9680917136,0.9299249958
18951655.42,0,-20032273.66,18861927.0,-1170346.66,0.9666438543,0.9415769433
18951655.42,0,-20032273.66,18716869.0,-1315404.66,0.9652157745,0.9343357283
18951655.42,0,-20032273.66,18138954.0,-1893319.66,0.956568178,0.9054865318
18951655.42,0,-20032273.66,18834889.0,-1197384.66,0.962832345,0.9402272213
18951655.42,0,-20032273.66,19101220.0,-931053.66,0.9678840288,0.9535223172
18951655.42,0,-20032273.66,19101220.0,-931053.66,0.9628995953,0.9535223172
18951655.42,0,-20032273.66,19236397.0,-795876.66,0.9575393513,0.9602702782
18951655.42,0,-20032273.66,19378649.0,-653624.66,0.9614556919,0.9673714192
18951655.42,0,-20032273.66,19013361.0,-1018912.66,0.9492319621,0.9491364447
18951655.42,0,-20032273.66,19171102.0,-861171.66,0.9578538453,0.957010788
18951655.42,0,-20032273.66,19718329.0,-313944.66,0.9685644436,0.9843280565
18951655.42,0,-20032273.66,19542817.0,-489456.66,0.9573019973,0.9755665948
18951655.42,0,-20032273.66,18955853.0,-1076420.66,0.9552785547,0.9462656772
18951655.42,0,-20032273.66,18862394.0,-1169879.66,0.9550055976,0.9416002557
18951655.42,0,-20032273.66,18652204.0,-1380069.66,0.9448053104,0.9311076874
18951655.42,0,-20032273.66,17914121.0,-2118152.66,0.931972372,0.894262993
18951655.42,0,-20032273.66,17934330.0,-2097943.66,0.9309299924,0.8952718151
18951655.42,0,-20032273.66,17903741.0,-2128532.66,0.9278087876,0.8937448292
18951655.42,0,-20032273.66,18236937.0,-1795336.66,0.9303682547,0.9103777888
18951655.42,0,-20032273.66,18143354.0,-1888919.66,0.9236986079,0.9057061773
18951655.42,0,-20032273.66,18252373.0,-1779900.66,0.9457468145,0.9111483454
18951655.42,0,-20032273.66,18252373.0,-1779900.66,0.9581940527,0.9111483454
18951655.42,0,-20032273.66,18430398.0,-1601875.66,0.9571101362,0.9200352548
18951655.42,0,-20032273.66,18694188.0,-1338085.66,0.9602906795,0.9332035054
18951655.42,0,-20032273.66,18898033.0,-1134240.66,0.9460197716,0.9433793348
18951655.42,0,-20032273.66,18902497.0,-1129776.66,0.9546020958,0.9436021752
18951655.42,0,-20032273.66,19093250.0,-939023.66,0.9603361724,0.9531244593
18951655.42,0,-20032273.66,19255787.0,-776486.66,0.9675003066,0.9612382162
18951655.42,0,-20032273.66,19423700.0,-608573.66,0.9679077642,0.9696203401
18951655.42,0,-20032273.66,19776143.0,-256130.66,0.9774395044,0.9872140994
0.0,1040095.91,-18992180.47,19997329.0,1005148.53,0.9762289991,0.9982555819
1444239.67,0,-20436420.14,19997329.0,-439091.14,0.9739029301,0.9982555819
1444239.67,0,-20436420.14,20295915.0,-140505.14,0.9735488771,1.01316083
1444239.67,0,-20436420.14,20232458.0,-203962.14,0.9748048753,1.009993091
1444239.67,0,-20436420.14,20334090.0,-102330.14,0.9711219327,1.015066504
1444239.67,0,-20436420.14,20197513.0,-238907.14,0.9798090883,1.008248656
1444239.67,0,-20436420.14,20132383.0,-304037.14,0.9758512107,1.004997403
1444239.67,0,-20436420.14,20438957.0,2536.86,0.9627077342,1.020301407
1444239.67,0,-20436420.14,20509210.0,72789.86,0.9572822178,1.023808398
1444239.67,0,-20436420.14,20219478.0,-216942.14,0.9475052119,1.009345137
1444239.67,0,-20436420.14,20275255.0,-161165.14,0.9330978254,1.012129494
1444239.67,0,-20436420.14,19895764.0,-540656.14,0.9396626409,0.9931855134
1444239.67,0,-20436420.14,19718128.0,-718292.14,0.9386420188,0.9843180227
1444239.67,0,-20436420.14,19681670.0,-754750.14,0.9395340741,0.9824980596
1444239.67,0,-20436420.14,19695386.0,-741034.14,0.9420342027,0.9831827547
1444239.67,0,-20436420.14,19711492.0,-724928.14,0.9353685118,0.9839867573
1444239.67,0,-20436420.14,19814514.0,-621906.14,0.9353645559,0.9891295584
1444239.67,0,-20436420.14,20002348.0,-434072.14,0.9392452935,0.9985061276
1444239.67,0,-20436420.14,20215397.0,-221023.14,0.9568787161,1.009141416
1444239.67,0,-20436420.14,20388561.0,-47859.14,0.9496038167,1.017785667
1444239.67,0,-20436420.14,20341983.0,-94437.14,0.9342272348,1.015460519
1444239.67,0,-20436420.14,19522049.0,-914371.14,0.9378607286,0.9745298677
1444239.67,0,-20436420.14,19663037.0,-773383.14,0.9371110856,0.9815679105
1444239.67,0,-20436420.14,19432832.0,-1003588.14,0.9306847267,0.9700762045
1444239.67,0,-20436420.14,18980337.0,-1456083.14,0.926926622,0.9474879049
1444239.67,0,-20436420.14,18471411.0,-1965009.14,0.9132570108,0.922082601
1444239.67,0,-20436420.14,17454830.0,-2981590.14,0.9168212764,0.8713354408
1444239.67,0,-20436420.14,17931702.0,-2504718.14,0.9182908931,0.8951406268
1444239.67,0,-20436420.14,17977307.0,-2459113.14,0.9221914102,0.8974172031
1444239.67,0,-20436420.14,18228832.0,-2207588.14,0.9178953032,0.9099731917
1444239.67,0,-20436420.14,18318327.0,-2118093.14,0.9234948791,0.9144407325
1444239.67,0,-20436420.14,18409974.0,-2026446.14,0.9108320444,0.9190157
1444239.67,0,-20436420.14,17638391.0,-2798029.14,0.9160024052,0.8804987042
1444239.67,0,-20436420.14,17056813.0,-3379607.14,0.917980355,0.8514666527
1444239.67,0,-20436420.14,17267087.0,-3169333.14,0.9135042546,0.8619634143
1444239.67,0,-20436420.14,16913910.0,-3522510.14,0.9030982606,0.8443330142
1444239.67,0,-20436420.14,16140799.0,-4295621.14,0.908165768,0.8057397415
1444239.67,0,-20436420.14,15508859.0,-4927561.14,0.9163089874,0.7741936469
1444239.67,0,-20436420.14,16255302.0,-4181118.14,0.9197268847,0.8114556678
1444239.67,0,-20436420.14,16440892.0,-3995528.14,0.9299687088,0.8207202177
1444239.67,0,-20436420.14,17087239.0,-3349181.14,0.9289302852,0.8529855018
1444239.67,0,-20436420.14,16919726.0,-3516694.14,0.9241396907,0.8446233457
1444239.67,0,-20436420.14,16275181.0,-4161239.14,0.9391009031,0.8124480164
1444239.67,0,-20436420.14,16334152.0,-4102268.14,0.9374018442,0.8153918161
1444239.67,0,-20436420.14,16596165.0,-3840255.14,0.9337248355,0.8284713599
1444239.67,0,-20436420.14,16462532.0,-3973888.14,0.9320079751,0.8218004745
1444239.67,0,-20436420.14,16625663.0,-3810757.14,0.9249526281,0.8299438837
1444239.67,0,-20436420.14,16306356.0,-4130064.14,0.912697251,0.8140042552
