date,narration,bill_no,value_date,debit,credit,premimum,net
2025-01-03,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-02,1211624.65,0.0,1214280.0,2655.35
2025-01-06,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-03,1211624.65,0.0,1275345.0,63720.35
2025-01-07,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-06,1211624.65,0.0,1476090.0,264465.35
2025-01-08,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-07,1211624.65,0.0,1476900.0,265275.35
2025-01-09,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-08,1211624.65,0.0,1451655.0,240030.35
2025-01-10,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-09,1211624.65,0.0,1515600.0,303975.35
2025-01-13,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-10,1211624.65,0.0,1581390.0,369765.35
2025-01-14,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-13,1211624.65,0.0,1736235.0,524610.35
2025-01-15,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-14,1211624.65,0.0,1764270.0,552645.35
2025-01-16,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-15,1211624.65,0.0,1704105.0,492480.35
2025-01-17,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-16,1211624.65,0.0,1628190.0,416565.35
2025-01-20,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-17,1211624.65,0.0,1680795.0,469170.35
2025-01-21,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-20,1211624.65,0.0,1633455.0,421830.35
2025-01-22,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-21,1211624.65,0.0,1797345.0,585720.35
2025-01-23,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-22,1211624.65,0.0,1765800.0,554175.35
2025-01-24,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-23,1211624.65,0.0,1719000.0,507375.35
2025-01-27,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-24,1211624.65,0.0,1794330.0,582705.35
2025-01-28,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-27,1211624.65,0.0,1966770.0,755145.35
2025-01-29,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-28,1211624.65,0.0,1884870.0,673245.35
2025-01-30,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-29,1211624.65,0.0,1763865.0,552240.35
2025-01-31,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-30,1211624.65,0.0,1658925.0,447300.35
2025-02-01,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-31,1211624.65,0.0,1539450.0,327825.35
2025-02-03,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-01,1211624.65,0.0,1548495.0,336870.35
2025-02-04,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-03,1211624.65,0.0,1610370.0,398745.35
