,,,,,,,,,,
,,,,,,,,,,
RVNL,2207,,,,,,,,,
COCHINSHIP,657,,,,,,,,,
INOXWIND,4343,,,,,,,,,
TRENT,123,,,,,,,,,
HUDCO,4107,,,,,,,,,
GODFRYPHLP,201,,,,,,,,,
OFSS,92,,,,,,,,,
GVT&D,800,,,,,,,,,
IREDA,5613,,,,,,,,,
NETWEB,409,,,,,,,,,
JUBLPHARMA,791,,,,,,,,,
DIXON,56,,,,,,,,,
POWERINDIA,79,,,,,,,,,
KAYNES,145,,,,,,,,,
IFCI,13843,,,,,,,,,
ANANTRAJ,1230,,,,,,,,,
ZOMATO,2916,,,,,,,,,
NATIONALUM,3412,,,,,,,,,
SCHNEIDER,1024,,,,,,,,,
POLICYBZR,425,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Money Allocated,15002971.8647,Amol ji,,,,,Vishal,
,,,,,,,,,,
Stock,targetWeight,currentPrice,currentQty,targetQty,action,actionQty,buy/sell price,Buy/Sell Qty,Price,Value
RVNL,0.043461605,341.65,2207,1857,SELL,-350,339.3114,-350,339.3114,-118758.99
COCHINSHIP,0.044291035,1332.1,657,503,SELL,-154,1270.45,-154,1270.45,-195649.3
INOXWIND,0,170.56,4343,0,SELL,-4343,155.4113,-4343,155.4113,-674951.2759
TRENT,0,4990,123,0,SELL,-123,5031.9476,-123,5031.9476,-618929.5548
HUDCO,0,182,4107,0,SELL,-4107,182.3782,-4107,182.3782,-749027.2674
GODFRYPHLP,0.056301762,5305.05,201,154,SELL,-47,5290,-47,5290,-248630
OFSS,0,7538,92,0,SELL,-92,7911.05,-92,7911.05,-727816.6
GVT&D,0.049489154,1427.9,800,585,SELL,-215,1387.1772,-215,1387.1772,-298243.098
IREDA,0,149.4,5613,0,SELL,-5613,151.9669,-5613,151.9669,-852990.2097
NETWEB,0,1593.5,409,0,SELL,-409,1586.8647,-409,1586.8647,-649027.6623
JUBLPHARMA,0.041015626,910,791,676,SELL,-115,918.2015,-115,918.2015,-105593.1725
DIXON,0.059074288,13888,56,64,BUY,8,0,8,13888,111104
POWERINDIA,0.066869397,12900,79,72,SELL,-7,13491.65,-7,13491.65,-94441.55
KAYNES,0,4453,145,0,SELL,-145,4266.6507,-145,4266.6507,-618664.3515
IFCI,0,44.39,13843,0,SELL,-13843,43.8239,-13843,43.8239,-606654.2477
ANANTRAJ,0,505,1230,0,SELL,-1230,467,-1230,467,-574410
ZOMATO,0,217.1,2916,0,SELL,-2916,228.3223,-2916,228.3223,-665787.8268
NATIONALUM,0,194.68,3412,0,SELL,-3412,192.9607,-3412,192.9607,-658381.9084
SCHNEIDER,0,633,1024,0,SELL,-1024,633.2003,-1024,633.2003,-648397.1072
POLICYBZR,0,1396,425,0,SELL,-425,1422.9627,-425,1422.9627,-604759.1475
AMBER,0.04082282,6325,,97,BUY,97,0,97,6325,613525
BSE,0.059858539,4183,,215,BUY,215,0,215,4183,899345
CHAMBLFERT,0.043697533,570.8,,1149,BUY,1149,0,1149,570.8,655849.2
DEEPAKFERT,0.058536905,1116.05,,787,BUY,787,0,787,1116.05,878331.35
DOMS,0.044072679,2708.75,,244,BUY,244,0,244,2708.75,660935
FORTIS,0.040302876,630.45,,959,BUY,959,0,959,630.45,604601.55
FSL,0.047628212,351.4,,2033,BUY,2033,0,2033,351.4,714396.2
GRSE,0.050369514,1388.5,,544,BUY,544,0,544,1388.5,755344
KIRLOSBROS,0.047587279,1692,,422,BUY,422,0,422,1692,714024
LLOYDSME,0.041817643,1151.6,,545,BUY,545,0,545,1151.6,627622
MAZDOCK,0.073789436,2342.1,,473,BUY,473,0,473,2342.1,1107813.3
PAYTM,0.049770888,682.6,,1094,BUY,1094,0,1094,682.6,746764.4
VEDL,0.041242807,445,,1390,BUY,1390,0,1390,445,618550
,,,,,,,,,,-2908.2697
