Money Allocated,21940415,,,,,,,,,
,,Amol Ji,,,,,Vishal Ji,,,
Symbol,targetWeight,currentPrice,currentQty,targetQty,action,actionQty,Buy/Sell Qty,Price,Value,NET QTY
ANANDRATHI,0.02748449247058067,2955,213,204,SELL,-9,-9,2946.7,-26520.3,204
ASTERDM,0,544.65,1041,0,SELL,-1041,-1041,530.3,-552042.3,
BDL,0,1322.3,416,0,SELL,-416,-416,1251.3,-520540.8,
BLUEJET,0,422,873,0,SELL,-873,-873,406.35,-354743.55,
BSE,0.02514526666810609,2852,325,193,SELL,-132,-132,2852.4,-376516.8,193
CEATLTD,0,3883.9,143,0,SELL,-143,-143,3874.6,-554067.8,
CHOICEIN,0,782,879,0,SELL,-879,-879,778.49,-684292.71,
CREDITACC,0,1318.6,550,0,SELL,-550,-550,1336.4,-735020,
ECLERX,0.02604004816509545,4955,159,115,SELL,-44,-44,4461.92,-196324.48,115
FORTIS,0,864.9,721,0,SELL,-721,-721,854.35,-615986.35,
GPIL,0,253,2042,0,SELL,-2042,-2042,255.02,-520750.84,
GRSE,0.03730419278144038,2545,362,322,SELL,-40,-40,2440.3,-97612,322
GVT&D,0.03984902035789937,3460,281,253,SELL,-28,-28,3521.2,-98593.6,253
INTELLECT,0,814,611,0,SELL,-611,-611,776.56,-474478.16,
ITI,0,289.4,2475,0,SELL,-2475,-2475,292.99,-725150.25,
JKCEMENT,0,5620,92,0,SELL,-92,-92,5662.01,-520904.92,
LAURUSLABS,0.02592640983955472,979.5,1025,581,SELL,-444,-444,961.95,-427105.8,581
LTF,0.03127194389449627,284.9,2643,2408,SELL,-235,-235,279.4,-65659,2408
MANAPPURAM,0,290.25,3149,0,SELL,-3149,-3149,286.65,-902660.85,
MAZDOCK,0,2455,223,0,SELL,-223,-223,2363.32,-527020.36,
MUTHOOTFIN,0.02713514552362826,3644.9,255,163,SELL,-92,-92,3583.61,-329692.12,163
NAVINFLUOR,0,6300,151,0,SELL,-151,-151,6321.5,-954546.5,
PAYTM,0,1191.3,715,0,SELL,-715,-715,1201.9,-859358.5,
RBLBANK,0.0326621071781659,304.95,3009,2350,SELL,-659,-659,304.05,-200368.95,2350
SYRMA,0,818,1033,0,SELL,-1033,-1033,830.75,-858164.75,
FORCEMOT,0.06977513625566116,19950,77,77,FLAT,0,0,0,0,77
POWERINDIA,0.03291240005724902,19715,37,37,FLAT,0,0,0,0,37
ABCAPITAL,0.03344141445398965,346.9,2030,2115,BUY,85,85,341.35,29014.75,2115
ASAHIINDIA,0.02637102593355861,989.9,0,584,BUY,584,584,948.19,553742.96,584
ASHOKLEY,0.03656644125474137,200,0,4011,BUY,4011,4011,199.98,802119.78,4011
AUBANK,0.02657863090382713,982.5,0,594,BUY,594,594,981.73,583147.62,594
BEL,0.02453237162554998,438.4,0,1228,BUY,1228,1228,428.05,525645.4,1228
CANBK,0.02513340914116597,147.4,0,3741,BUY,3741,3741,147.23,550787.43,3741
CCL,0.0270843394617243,984.05,0,604,BUY,604,604,981.45,592795.8,604
CHENNPETRO,0.03310385411613415,841.6,0,863,BUY,863,863,901.9,778339.7,863
CRAFTSMAN,0.03304191844751245,7699,0,94,BUY,94,94,7794.5,732683,94
CUB,0.02717963230204811,297.1,0,2007,BUY,2007,2007,293.46,588974.22,2007
GMDCLTD,0.03866967712314752,589.2,1366,1440,BUY,74,74,608.74,45046.76,1440
HINDCOPPER,0.05546066209071004,614.9,0,1979,BUY,1979,1979,584.85,1157418.15,1979
INDIACEM,0.03232505563560276,463.5,0,1530,BUY,1530,1530,448.88,686786.4,1530
JKTYRE,0.02944886741373242,534,0,1210,BUY,1210,1210,526.47,637028.7,1210
LLOYDSME,0,1167,-96,0,BUY,96,96,1235,118560,
MCX,0.0413449319996448,2441,0,372,BUY,372,372,2354,875688,372
NATIONALUM,0.03677782324938297,371.5,0,2172,BUY,2172,2172,353.6,768019.2,2172
NETWEB,0.04264659797248958,3204.9,201,292,BUY,91,91,3057.7,278250.7,292
SHRIRAMFIN,0.0300827867949325,1000,0,660,BUY,660,660,990.1,653466,660
UNIONBANK,0.02470439688822855,174.6,0,3104,BUY,3104,3104,177.14,549842.56,3104
