Money Allocated,21729167,,,,,,,,,,
,,Amol Ji,,,,,,Vishal Ji,,,
Symbol,targetWeight,currentPrice,currentQty,targetQty,action,actionQty,,Buy/Sell Qty,Price,Value,NET QTY
ABCAPITAL,0.02711419948036875,391,2041,1507,SELL,-534,-208794.0,-534,390.45,-208500.3,1507
AMBER,0,7448.5,126,0,SELL,-126,-938511.0,-126,7446.5,-938259,
ASHOKLEY,0.02810454111153519,164.1,3792,3721,SELL,-71,-11651.1,-71,165.2,-11729.2,3721
AUBANK,0,1065,736,0,SELL,-736,-783840.0,-736,1058.1,-778761.6,
BEL,0,414.8,974,0,SELL,-974,-404015.2,-974,413.25,-402505.5,
BSE,0.03198469026984772,3937,225,177,SELL,-48,-188976.0,-48,3938.7,-189057.6,177
CANBK,0,127.55,3466,0,SELL,-3466,-442088.3,-3466,127.03,-440285.98,
DELHIVERY,0,510.3,1412,0,SELL,-1412,-720543.6,-1412,507.95,-717225.4,
FORCEMOT,0.03090108597188039,18795,60,36,SELL,-24,-451080.0,-24,18841,-452184,36
GLENMARK,0,2207.6,219,0,SELL,-219,-483464.4,-219,2193.5,-480376.5,
HEROMOTOCO,0,4808.9,86,0,SELL,-86,-413565.4,-86,4814.3,-414029.8,
INDIANB,0,815.6,693,0,SELL,-693,-565210.8,-693,815.7,-565280.1,
KEI,0.02630606441186615,5244,125,109,SELL,-16,-83904.0,-16,5273,-84368,109
LAURUSLABS,0.04486982609331563,1506.1,650,647,SELL,-3,-4518.3,-3,1509.9,-4529.7,647
LTF,0.03198108095818381,314.7,2568,2208,SELL,-360,-113292.0,-360,313.45,-112842,2208
MCX,0.03875904346718496,3009.5,466,280,SELL,-186,-559767.0,-186,3011,-560046,280
MUTHOOTFIN,0,2971.8,135,0,SELL,-135,-401193.0,-135,2957.59,-399274.65,
NAM-INDIA,0.03638784924794843,1212.1,701,652,SELL,-49,-59392.9,-49,1220.5,-59804.5,652
NATIONALUM,0.03788621306202836,336.6,2557,2446,SELL,-111,-37362.6,-111,334.95,-37179.45,2446
POWERINDIA,0.0447714378749364,34240,40,28,SELL,-12,-410880.0,-12,34085,-409020,28
RBLBANK,0.02510963449729023,359.3,2228,1519,SELL,-709,-254743.7,-709,356.55,-252793.95,1519
SAIL,0,169,2653,0,SELL,-2653,-448357.0,-2653,166.71,-442281.63,
TVSMOTOR,0,3565,132,0,SELL,-132,-470580.0,-132,3585.6,-473299.2,
UNIONBANK,0,174.15,2580,0,SELL,-2580,-449307.0,-2580,174.03,-448997.4,
VEDL,0,277.5,821,0,SELL,-821,-227827.5,-821,278.15,-228361.15,
WAAREEENER,0,2900,145,0,SELL,-145,-420500.0,-145,2904.29,-421122.05,
ADANIENSOL,0.0438516337821046,1543.2,0,617,BUY,617,952154.4,617,1551.9,957522.3,617
ADANIENT,0.02216197468816281,3199.9,0,150,BUY,150,479985.0,150,3149.9,472485,150
ADANIGREEN,0.03825510564929618,1547.1,0,537,BUY,537,830792.7,537,1543.4,828805.8,537
ADANIPOWER,0.04791259742458579,227.6,3996,4574,BUY,578,131552.8,578,226.61,130980.58,4574
BHARATFORG,0.03548621995964477,2127.1,318,363,BUY,45,95719.5,45,2129,95805,363
BHEL,0.03306641969176746,408.25,0,1760,BUY,1760,718520.0,1760,403.13,709508.8,1760
CGPOWER,0.02814794461056495,969.95,0,631,BUY,631,612038.45,631,965.23,609060.13,631
CUMMINSIND,0.0371329361984938,5652,125,143,BUY,18,101736.0,18,5591,100638,143
FEDERALBNK,0.02889058476610495,331.6,0,1893,BUY,1893,627718.8,1893,330.05,624784.65,1893
GMRAIRPORT,0.02468225338036547,113.22,0,4737,BUY,4737,536323.14,4737,111.48,528080.76,4737
GVT&D,0.05096997002700995,4869.7,0,227,BUY,227,1105421.9,227,4848.98,1100718.46,227
MOTHERSON,0.03294679925069062,146.92,0,4873,BUY,4873,715941.16,4873,147.09,716769.57,4873
NYKAA,0.0291453212129579,310.95,0,2037,BUY,2037,633405.15,2037,311.4,634321.8,2037
PAYTM,0.02570174997556309,1211.3,0,461,BUY,461,558409.3,461,1214.75,559999.75,461
POLYCAB,0.02913225661250479,9599,63,66,BUY,3,28797.0,3,9606,28818,66
RADICO,0.02953645660885984,3943.6,0,163,BUY,163,642806.8,163,3953,644339,163
SHRIRAMFIN,0.03620172160792069,1058,592,744,BUY,152,160816.0,152,1067.3,162229.6,744
SONACOMS,0.02260238810701651,646,0,760,BUY,760,490960.0,760,652,495520,760
