Money Allocated,13344653,,,,,,,,,,,,
,,Amol Ji,,,,,Vishal Ji,,,,,,
Symbol,targetWeight,currentPrice,currentQty,targetQty,action,actionQty,Buy/Sell Qty,Price,Value,,,,net QTy
ABCAPITAL,0,393.3,874,0,SELL,-874,-874,398.5,-348289,,-343744.2,,
ACUTAAS,0.03629242847916562,3192.3,179,152,SELL,-27,-27,3192.7,-86202.9,,-86192.1,,152
ADANIPOWER,0.02558009680560903,203.76,1909,1675,SELL,-234,-234,209.04,-48915.36,,-47679.84,,1675
ANANDRATHI,0,2192,89,0,SELL,-89,-89,2197.34,-195563.26,,-195088.0,,
ATHERENERG,0.04669004017083094,1713.2,648,364,SELL,-284,-284,1646.91,-467722.44,,-486548.8,,364
BELRISE,0,229.64,2297,0,SELL,-2297,-2297,236.3,-542781.1,,-527483.08,,
BSE,0,3227.8,77,0,SELL,-77,-77,3211.61,-247293.97,,-248540.6,,
CUMMINSIND,0,5077.5,56,0,SELL,-56,-56,5048.5,-282716,,-284340.0,,
FORCEMOT,0,17807,21,0,SELL,-21,-21,17708.67,-371882.07,,-373947.0,,
GABRIEL,0,1410.5,337,0,SELL,-337,-337,1385.02,-466751.74,,-475338.5,,
GMDCLTD,0,560.7,646,0,SELL,-646,-646,561.9,-362987.4,,-362212.2,,
GVT&D,0,4337.3,90,0,SELL,-90,-90,4260.12,-383410.8,,-390357.0,,
HINDALCO,0,1016,298,0,SELL,-298,-298,1012.6,-301754.8,,-302768.0,,
KIRLOSENG,0.03623878068076609,2119.4,248,228,SELL,-20,-20,2158.3,-43166,,-42388.0,,228
LAURUSLABS,0.03258678782721116,1854.6,335,234,SELL,-101,-101,1858,-187658,,-187314.6,,234
LTF,0,305.8,1149,0,SELL,-1149,-1149,312.35,-358890.15,,-351364.2,,
MCX,0.03123421000257393,3279,163,127,SELL,-36,-36,3213.9,-115700.4,,-118044.0,,127
NAM-INDIA,0,1173.7,281,0,SELL,-281,-281,1164.8,-327308.8,,-329809.7,,
NATIONALUM,0.03151949873500465,372.05,1181,1131,SELL,-50,-50,375.95,-18797.5,,-18602.5,,1131
NETWEB,0.03970755162321494,5139,111,103,SELL,-8,-8,5117,-40936,,-41112.0,,103
POWERINDIA,0.02569831322010608,32690,11,10,SELL,-1,-1,31960,-31960,,-32690.0,,10
SCHNEIDER,0,1173.7,276,0,SELL,-276,-276,1159,-319884,,-323941.2,,
SYRMA,0.03080695660583675,1434.7,389,287,SELL,-102,-102,1413,-144126,,-146339.4,,287
USHAMART,0,503.15,608,0,SELL,-608,-608,512.53,-311618.24,,-305915.2,,
ADANIENSOL,0.03278146794312409,1385.7,237,316,BUY,79,79,1394.32,110151.28,,109470.3,,316
AEGISLOG,0.02921665654551765,1199.4,0,325,BUY,325,325,1257.81,408788.25,,389805.0,,325
APARINDS,0.03673185578004742,17575,25,28,BUY,3,3,17290,51870,,52725.0,,28
BHARATFORG,0.02561760428811548,2053.2,0,167,BUY,167,167,2021.45,337582.15,,342884.4,,167
BHEL,0.03065580824977225,425.4,0,962,BUY,962,962,426.75,410533.5,,409234.8,,962
CEMPRO,0.02969909538946168,1241.8,0,319,BUY,319,319,1254.5,400185.5,,396134.2,,319
CHENNPETRO,0.03123603890966543,1378.7,277,302,BUY,25,25,1469.3,36732.5,,34467.5,,302
CPPLUS,0.04387714183292495,3696.9,0,158,BUY,158,158,3678.3,581171.4,,584110.2,,158
DATAPATTNS,0.02887872359148251,4435.3,0,87,BUY,87,87,4584.5,398851.5,,385871.1,,87
HFCL,0.0531535591369751,236.64,2420,2997,BUY,577,577,226.77,130846.29,,136541.28,,2997
HINDCOPPER,0.03960897913051481,518.95,958,1019,BUY,61,61,525.8,32073.8,,31655.95,,1019
IDEA,0.03688935313366114,14.11,32653,34888,BUY,2235,2235,14.54,32496.9,,31535.85,,34888
MOTHERSON,0.02480530665247465,164.61,0,2011,BUY,2011,2011,162.1,325983.1,,331030.71,,2011
NAVINFLUOR,0.02578696349804511,8636.5,0,40,BUY,40,40,8544.77,341790.8,,345460.0,,40
PFOCUS,0.034013487551614,291.7,0,1556,BUY,1556,1556,282.2,439103.2,,453885.2,,1556
RRKABEL,0.03598171748508141,2846.8,0,169,BUY,169,169,2616.36,442164.84,,481109.2,,169
SHRIRAMFIN,0.02947076655704221,1054.8,0,373,BUY,373,373,1046.3,390269.9,,393440.4,,373
SONACOMS,0.02583358876281818,800.95,0,430,BUY,430,430,790.15,339764.5,,344408.5,,430
WELCORP,0.04316042568428268,2511.3,0,229,BUY,229,229,2607.88,597204.52,,575087.7,,229
WELSPUNLIV,0.02624679572705991,197.92,0,1770,BUY,1770,1770,199.7,353469,,350318.4,,1770
