Money Allocated,23215067,,,,,,,,,,
,,Amol Ji,,,,,,Vishal Ji,,,
Symbol,targetWeight,currentPrice,currentQty,targetQty,action,actionQty,,Buy/Sell Qty,Price,Value,NET Qty
ABCAPITAL,0.02473082104546281,350.3,2115,1639,SELL,-476,574141.7,-476,357.33,-170089.08,1639
ANANDRATHI,0.03138402094428699,3596.2,204,203,SELL,-1,-3596.2,-1,3615,-3615,203
ASAHIINDIA,0,825.25,584,0,SELL,-584,-481946.0,-584,844,-492896,
ASHOKLEY,0,159.2,4011,0,SELL,-4011,-638551.2,-4011,159.1,-638150.1,
AUBANK,0,1019.6,594,0,SELL,-594,-605642.4,-594,1009.9,-599880.6,
BEL,0,434.15,1228,0,SELL,-1228,-533136.2,-1228,430.82,-529046.96,
BSE,0.02715881659058965,3680.6,193,171,SELL,-22,-80973.2,-22,3703,-81466,171
CANBK,0,134.96,3741,0,SELL,-3741,-504885.36,-3741,134.2,-502042.2,
CHENNPETRO,0.02921823034369882,1107,863,613,SELL,-250,-276750.0,-250,1112.2,-278050,613
CRAFTSMAN,0,7647.5,94,0,SELL,-94,-718865.0,-94,7641.65,-718315.1,
CUB,0,270.5,2007,0,SELL,-2007,-542893.5,-2007,271,-543897,
ECLERX,0,1391,230,0,SELL,-230,-319930.0,-230,1454.12,-334447.6,
FORCEMOT,0.03771920976728156,19143,77,46,SELL,-31,-593433.0,-31,19235.19,-596290.89,46
GMDCLTD,0.04341420153423647,713.4,1440,1413,SELL,-27,-19261.8,-27,737.6,-19915.2,1413
GRSE,0.02590977696160134,2773.7,322,217,SELL,-105,-291238.5,-105,2797,-293685,217
GVT&D,0.04550268004534481,4476.2,253,236,SELL,-17,-76095.4,-17,4565,-77605,236
HINDCOPPER,0.04381112384577025,529.55,1979,1921,SELL,-58,-30713.9,-58,533.55,-30945.9,1921
INDIACEM,0,386,1530,0,SELL,-1530,-590580.0,-1530,393.3,-601749,
JKTYRE,0,403.1,1210,0,SELL,-1210,-487751.0,-1210,400.85,-485028.5,
LAURUSLABS,0.02537362020995385,1163.1,581,506,SELL,-75,-87232.5,-75,1169.5,-87712.5,506
LTF,0,284.2,2408,0,SELL,-2408,-684353.6,-2408,284.85,-685918.8,
MCX,0.04097044464109884,2904.9,372,327,SELL,-45,-130720.5,-45,2903.52,-130658.4,327
MUTHOOTFIN,0,3461.2,163,0,SELL,-163,-564175.6,-163,3399.47,-554113.61,
NETWEB,0.04571287653226763,3910,292,271,SELL,-21,-82110.0,-21,4071.3,-85497.3,271
POWERINDIA,0.04043882040303343,33605,37,28,SELL,-9,-302445.0,-9,34025,-306225,28
RBLBANK,0,330.15,2350,0,SELL,-2350,-775852.5,-2350,327.5,-769625,
SHRIRAMFIN,0,949.15,660,0,SELL,-660,-626439.0,-660,945.5,-624030,
UNIONBANK,0,164.43,3104,0,SELL,-3104,-510390.72,-3104,162.81,-505362.24,
ABDL,0.02682671856805229,533.8,0,1167,BUY,1167,622944.6,1167,540.23,630448.41,1167
ADANIPOWER,0.03299983682897537,227.46,0,3368,BUY,3368,766085.28,3368,233,784744,3368
APARINDS,0.03829981809086725,12359,0,72,BUY,72,889848.0,72,12685,913320,72
CCL,0.03133359511286032,1171,604,621,BUY,17,19907.0,17,1167.4,19845.8,621
CUMMINSIND,0.02659051376335531,5283.5,0,117,BUY,117,618169.5,117,5252.48,614540.16,117
DATAPATTNS,0.03089734697273679,4004.1,0,179,BUY,179,716733.9,179,4131.13,739472.27,179
GABRIEL,0.03513398047192112,1028.6,0,793,BUY,793,815679.8,793,1045.4,829002.2,793
GALLANTT,0.03311671472751517,869.5,0,884,BUY,884,768638.0,884,879.54,777513.36,884
GESHIP,0.02455002742910646,1531,0,372,BUY,372,569532.0,372,1526.7,567932.4,372
GPIL,0.02483271223396166,302.05,0,1909,BUY,1909,576613.45,1909,302.55,577567.95,1909
HBLENGINE,0.02668107099780784,788,0,786,BUY,786,619368.0,786,798,627228,786
KIRLOSENG,0.03890751772231766,1718.8,0,526,BUY,526,904088.8,526,1736.57,913435.82,526
NATIONALUM,0.03966518841172443,404.3,2172,2278,BUY,106,42855.8,106,407.65,43210.9,2278
SCHNEIDER,0.03637268334744272,1305.8,0,647,BUY,647,844852.6,647,1347.9,872091.3,647
SCI,0.03094332758408809,309.45,0,2321,BUY,2321,718233.45,2321,326.5,757806.5,2321
SYRMA,0.03675732294766197,989,0,863,BUY,863,853507.0,863,1037.85,895664.55,863
WELCORP,0.02474698192497905,1240.7,0,463,BUY,463,574444.1,463,1240.4,574305.2,463
