Total cash to be allocated,20000000,Rebalance Date,2026-08-04 00:00:00,,,,,,,,,,,,
Target rebalance date,2026-11-01 00:00:00,,,,,,,,,,,,,,
2026-08-04 00:00:00,qty,Buying Rate,Changed Qty,Amount at entry,Actual Price,Amount by M2M,P&L,,,,,,,,
APARINDS,41,15857.52,41,650158.32,17537,719017,0.1059106342,,,,,,,,
DATAPATTNS,139,4532,139,629948,4391,610349,-0.03111209179,,,,,,,,
KIRLOSENG,495,2260.6,495,1118997,2150,1064250,-0.04892506414,,,,,,,,
LAURUSLABS,466,1835.2,466,855203.2,1955.2,911123.2,0.06538796861,,,,,,,,
MCX,244,2587.32,244,631306.08,3269,797636,0.263469536,,,,,,,,
NATIONALUM,2114,381,2114,805434,355.1,750681.4,-0.06797900262,,,,,,,,
NETWEB,194,4804.1,194,931995.4,4564.5,885513,-0.0498740659,,,,,,,,
SYRMA,573,1438.23,573,824105.79,1627,932271,0.1312516079,,,,,,,,
WELCORP,429,1769.2,429,758986.8,2464.3,1057184.7,0.3928894416,,,,,,,,
ACUTAAS,317,3263.1,317,1034402.7,3318,1051806,0.01682449205,,,,,,,,
ADANIENSOL,541,1650.7,541,893028.7,1355.7,733433.7,-0.1787120615,,,,,,,,
ADANIPOWER,3530,210.66,3530,743629.8,204.69,722555.7,-0.02833950441,,,,,,,,
AEGISLOG,541,1400.7,541,757778.7,1356.2,733704.2,-0.03176982937,,,,,,,,
ATHERENERG,933,1438.5,933,1342120.5,1555.5,1451281.5,0.08133472367,,,,,,,,
BELRISE,2638,243.66,2638,642775.08,229.95,606608.1,-0.05626692933,,,,,,,,
BHARATFORG,341,2220.64,341,757238.24,1921.4,655197.4,-0.1347539448,,,,,,,,
BHEL,1597,413,1597,659561,427.65,682957.05,0.03547215496,,,,,,,,
CEMPRO,615,1308.2,615,804543,1255.6,772194,-0.04020791928,,,,,,,,
CHENNPETRO,619,1311.3,619,811694.7,1417.6,877494.4,0.08106459239,,,,,,,,
FEDERALBNK,1929,358.75,1929,692028.75,333.75,643803.75,-0.06968641115,,,,,,,,
GRANULES,828,835.82,828,692058.96,862.6,714232.8,0.03204039147,,,,,,,,
HFCL,5754,209.34,5754,1204542.36,209.13,1203334.02,-0.001003152766,,,,,,,,
HINDCOPPER,1932,505.1,1932,975853.2,485.5,937986,-0.03880419719,,,,,,,,
HONASA,1325,462.9,1325,613342.5,462.85,613276.25,-0.00010801469,,,,,,,,
IDEA,66275,12.99,66275,860912.25,14.23,943093.25,0.09545804465,,,,,,,,
J&KBANK,3805,158.75,3805,604043.75,147.21,560134.05,-0.07269291339,,,,,,,,
PFOCUS,2770,304.81,2770,844323.7,332.65,921440.5,0.0913355861,,,,,,,,
RRKABEL,318,2744.5,318,872751,2393.8,761228.4,-0.1277828384,,,,,,,,
SHRIRAMFIN,647,1096.3,647,709306.1,997.5,645382.5,-0.09012131716,,,,,,,,
SONACOMS,852,796.97,852,679018.44,779.4,664048.8,-0.02204599922,,,,,,,,
,,,,,,,,,,,,,,,
2026-05-04 00:00:00,qty,Buying Rate,Changed Qty,Amount at entry,Actual Price,Amount by M2M,P&L,,,,,,,,
ABCAPITAL,1639,357.33,1639,585663.87,389.95,639128.05,0.091288165,HPC39_7,AMOL,ABCA01,ABCAPITAL,INE674K01013,1639.0,424.35,695509.7
ANANDRATHI,203,3615,203,733845,2219.6,450578.8,-0.3860027663,HPC39_7,AMOL,ABDL01,ABDL,,1167.0,619.55,723014.9
BSE,171,3703,171,633213,3259.9,557442.9,-0.1196597353,HPC39_7,AMOL,ADAN01,ADANIPOWER,INE814H01029,3368.0,213.65,719573.2
CHENNPETRO,613,1112.2,613,681778.6,1417.6,868988.8,0.2745909009,HPC39_7,AMOL,ANAN02,ANANDRATHI,INE463V01026,203.0,2058.7,417916.1
FORCEMOT,46,19235.19,46,884818.74,17716,814936,-0.07897972414,HPC39_7,AMOL,APAR01,APARINDS,INE372A01015,72.0,14746.0,1061712.0
GMDCLTD,1413,737.6,1413,1042228.8,549.45,776372.85,-0.2550840564,HPC39_7,AMOL,BSE001,BSE,INE118H01025,171.0,3575.0,611325.0
GRSE,217,2797,217,606949,2333.2,506304.4,-0.165820522,HPC39_7,AMOL,CCL001,CCL,INE421D01022,621.0,1152.4,715640.4
GVT&D,236,4565,236,1077340,4356,1028016,-0.04578313253,HPC39_7,AMOL,CHEN01,CHENNPETRO,INE178A01016,613.0,1325.5,812531.5
HINDCOPPER,1921,533.55,1921,1024949.55,485.5,932645.5,-0.09005716428,HPC39_7,AMOL,CUMM01,CUMMINSIND,INE298A01020,117.0,5550.0,649350.0
LAURUSLABS,506,1169.5,506,591767,1955.2,989331.2,0.6718255665,HPC39_7,AMOL,DATA02,DATAPATTNS,INE0IX101010,179.0,4428.8,792755.2
MCX,327,2903.52,327,949451.04,3269,1068963,0.1258748002,HPC39_7,AMOL,FORC01,FORCEMOT,INE451A01017,46.0,18494.0,850724.0
NETWEB,271,4071.3,271,1103322.3,4564.5,1236979.5,0.1211406676,HPC39_7,AMOL,GABR01,GABRIEL,INE524A01029,793.0,1527.4,1211228.0
POWERINDIA,28,34025,28,952700,30845,863660,-0.09346069067,HPC39_7,AMOL,GALL01,GALLANTT,,884.0,627.6,554798.4
ABDL,1167,540.23,1167,630448.41,646.45,754407.15,0.1966199582,HPC39_7,AMOL,GESH01,GESHIP,INE017A01032,372.0,1398.4,520204.8
ADANIPOWER,3368,233,3368,784744,204.69,689395.92,-0.1215021459,HPC39_7,AMOL,GMDC01,GMDCLTD,INE131A01031,1413.0,561.0,792693.0
APARINDS,72,12685,72,913320,17537,1262664,0.3824990146,HPC39_7,AMOL,GPIL01,GPIL,INE177H01039,1909.0,244.37,466502.3
CCL,621,1167.4,621,724955.4,1060.3,658446.3,-0.09174233339,HPC39_7,AMOL,GRSE01,GRSE,INE382Z01011,217.0,2582.7,560445.9
CUMMINSIND,117,5252.48,117,614540.16,5030,588510,-0.04235713415,HPC39_7,AMOL,GVT&01,GVT&D,INE200A01026,236.0,4370.0,1031320.0
DATAPATTNS,179,4131.13,179,739472.27,4391,785989,0.06290530678,HPC39_7,AMOL,HBLE01,HBLENGINE,INE292B01021,786.0,739.2,581011.2
GABRIEL,793,1045.4,793,829002.2,1281.6,1016308.8,0.2259422231,HPC39_7,AMOL,HIND06,HINDCOPPER,INE531E01026,1921.0,495.05,950991.1
GALLANTT,884,879.54,884,777513.36,534.35,472365.4,-0.3924665166,HPC39_7,AMOL,KIRL01,KIRLOSENG,INE146L01010,526.0,2225.2,1170455.0
GESHIP,372,1526.7,372,567932.4,1412.3,525375.6,-0.07493286173,HPC39_7,AMOL,LAUR01,LAURUSLABS,INE947Q01028,506.0,1811.4,916568.4
GPIL,1909,302.55,1909,577567.95,235.74,450027.66,-0.2208230045,HPC39_7,AMOL,MCX001,MCX,INE745G01043,327.0,2642.1,863966.7
HBLENGINE,786,798,786,627228,755.75,594019.5,-0.05294486216,HPC39_7,AMOL,NATI01,NATIONALUM,INE139A01034,2278.0,369.0,840582.0
KIRLOSENG,526,1736.57,526,913435.82,2150,1130900,0.2380727526,HPC39_7,AMOL,NETW02,NETWEB,INE0NT901020,271.0,4586.0,1242806.0
NATIONALUM,2278,407.65,2278,928626.7,355.1,808917.8,-0.1289096038,HPC39_7,AMOL,POWE03,POWERINDIA,INE07Y701011,28.0,32000.0,896000.0
SCHNEIDER,647,1347.9,647,872091.3,1195,773165,-0.1134357148,HPC39_7,AMOL,SCHN01,SCHNEIDER,INE839M01018,647.0,1346.1,870926.7
SCI,2321,326.5,2321,757806.5,268,622028,-0.1791730475,HPC39_7,AMOL,SCI001,SCI,INE109A01011,2321.0,292.65,679240.7
SYRMA,863,1037.85,863,895664.55,1627,1404101,0.5676639206,HPC39_7,AMOL,SYRM01,SYRMA,INE0DYJ01015,863.0,1360.6,1174198.0
WELCORP,463,1240.4,463,574305.2,2464.3,1140970.9,0.9866978394,HPC39_7,AMOL,WELC01,WELCORP,INE191B01025,463.0,1715.3,794183.9
,,,,,,,,,,,,,,,
2026-02-04 00:00:00,qty,Buying Rate,Changed Qty,Amount at entry,Actual Price,Amount by M2M,P&L,,,,,,,,
ANANDRATHI,204,2946.7,204,601126.8,2219.6,452798.4,-0.2467506024,,ABCAPITAL,INE674K01013,2115,348.45,,,
BSE,193,2852.4,193,550513.2,3259.9,629160.7,0.1428621512,,ANANDRATHI,INE463V01026,204,3586.5,,,
ECLERX,115,4461.92,115,513120.8,1935,222525,-0.5663301897,,ASAHIINDIA,INE439A01020,584,850.6,,,
GRSE,322,2440.3,322,785776.6,2333.2,751290.4,-0.04388804655,,ASHOKLEY,INE208A01029,4011,165.73,,,
GVT&D,253,3521.2,253,890863.6,4356,1102068,0.2370782688,,AUBANK,INE949L01017,594,1017.65,,,
LAURUSLABS,581,961.95,581,558892.95,1955.2,1135971.2,1.032538074,,BEL,INE263A01024,1228,437.55,,,
LTF,2408,279.4,2408,672795.2,301.3,725530.4,0.07838224767,,BSE,INE118H01025,193,3635.7,,,
MUTHOOTFIN,163,3583.61,163,584128.43,2773.4,452064.2,-0.2260876602,,CANBK,INE476A01022,3741,137.06,,,
RBLBANK,2350,304.05,2350,714517.5,404.15,949752.5,0.3292221674,,CCL,INE421D01022,604,1125.1,,,
FORCEMOT,77,0,77,0,17716,1364132,#DIV/0!,,CHENNPETRO,INE178A01016,863,1139.5,,,
POWERINDIA,37,0,37,0,30845,1141265,#DIV/0!,,CRAFTSMAN,INE00LO01017,94,7750.5,,,
ABCAPITAL,2115,341.35,2115,721955.25,389.95,824744.25,0.1423758606,,CUB,INE491A01021,2007,277.37,,,
ASAHIINDIA,584,948.19,584,553742.96,951.2,555500.8,0.003174469252,,ECLERX,INE738I01010,230,1416.2,,,
ASHOKLEY,4011,199.98,4011,802119.78,158.95,637548.45,-0.2051705171,,FORCEMOT,INE451A01017,77,20985,,,
