Total cash to be allocated,20000000,Rebalance Date,2026-07-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,
Target rebalance date,2026-10-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01 00:00:00,Qty,Buying Rate,Changed Qty,Amount at entry,Actual Price,Amount by M2M,P&L,,,,,,,,,,,,,,,,,,
ABCAPITAL,1507,390.45,1507,588408.15,389.95,587654.65,-0.001280573697,,,,,,,,,,,,,,,,,,
ASHOKLEY,3721,165.2,3721,614709.2,158.95,591452.95,-0.03783292978,,,,,,,,,,,,,,,,,,
BSE,177,3938.7,177,697149.9,3259.9,577002.3,-0.1723411278,,,,,,,,,,,,,,,,,,
FORCEMOT,36,18841,36,678276,17716,637776,-0.05971020646,,,,,,,,,,,,,,,,,,
KEI,109,5273,109,574757,4547,495623,-0.1376825337,,,,,,,,,,,,,,,,,,
LAURUSLABS,647,1509.9,647,976905.3,1955.2,1265014.4,0.2949201934,,,,,,,,,,,,,,,,,,
LTF,2208,313.45,2208,692097.6,301.3,665270.4,-0.03876216302,,,,,,,,,,,,,,,,,,
MCX,280,3011,280,843080,3269,915320,0.08568581866,,,,,,,,,,,,,,,,,,
NAM-INDIA,652,1220.5,652,795766,1111.7,724828.4,-0.08914379353,,,,,,,,,,,,,,,,,,
NATIONALUM,2446,334.95,2446,819287.7,355.1,868574.6,0.06015823257,,,,,,,,,,,,,,,,,,
POWERINDIA,28,34085,28,954380,30845,863660,-0.09505647646,,,,,,,,,,,,,,,,,,
RBLBANK,1519,356.55,1519,541599.45,404.15,613903.85,0.1335016127,,,,,,,,,,,,,,,,,,
ADANIENSOL,617,1551.9,617,957522.3,1355.7,836466.9,-0.1264256718,,,,,,,,,,,,,,,,,,
ADANIENT,150,3149.9,150,472485,2923.9,438585,-0.07174830947,,,,,,,,,,,,,,,,,,
ADANIGREEN,537,1543.4,537,828805.8,1265,679305,-0.1803809771,,,,,,,,,,,,,,,,,,
ADANIPOWER,4574,226.61,4574,1036514.14,204.69,936252.06,-0.09673006487,,,,,,,,,,,,,,,,,,
BHARATFORG,363,2129,363,772827,1921.4,697468.2,-0.09751056834,,,,,,,,,,,,,,,,,,
BHEL,1760,403.13,1760,709508.8,427.65,752664,0.06082405179,,,,,,,,,,,,,,,,,,
CGPOWER,631,965.23,631,609060.13,878.5,554333.5,-0.08985423163,,,,,,,,,,,,,,,,,,
CUMMINSIND,143,5591,143,799513,5030,719290,-0.1003398319,,,,,,,,,,,,,,,,,,
