,,,,dr,cr,net,holding,p&l,,
18-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,14-11-2024,20068247.97,0,-20068247.97,19929592,-138655.97,,
19-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,18-11-2024,,0,-20068247.97,19887263,-180984.97,,
21-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,19-11-2024,,0,-20068247.97,19979067,-89180.97,,
22-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,21-11-2024,,0,-20068247.97,19967609,-100638.97,,
25-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,22-11-2024,,0,-20068247.97,20301562,233314.03,,
26-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,25-11-2024,,0,-20068247.97,20693123,624875.03,,
27-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,26-11-2024,,0,-20068247.97,20578829,510581.03,,
28-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,27-11-2024,,0,-20068247.97,20685180,616932.03,,
29-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,28-11-2024,,0,-20068247.97,20529503,461255.03,,
2024-02-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,29-11-2024,,0,-20068247.97,20710214,641966.03,,
2024-03-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-02-12 00:00:00,,0,-20068247.97,21040888,972640.03,,
2024-04-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-03-12 00:00:00,,0,-20068247.97,21196013,1127765.03,,
2024-05-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-04-12 00:00:00,,0,-20068247.97,21236088,1167840.03,,
2024-06-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-05-12 00:00:00,,0,-20068247.97,21236088,1167840.03,,
2024-09-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-06-12 00:00:00,,0,-20068247.97,21619032,1550784.03,,
2024-12-10 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-09 00:00:00,,0,-20068247.97,21590420,1522172.03,,
2024-12-11 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-10 00:00:00,,0,-20068247.97,21589440,1521192.03,,
2024-12-12 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-11 00:00:00,,0,-20068247.97,21722500,1654252.03,,
2024-12-13 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-12 00:00:00,,0,-20068247.97,21612737,1544489.03,,
2024-12-16 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-13 00:00:00,,0,-20068247.97,21616955,1548707.03,,
2024-12-17 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-16 00:00:00,,0,-20068247.97,21769226,1700978.03,,
2024-12-18 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-17 00:00:00,,0,-20068247.97,21587112,1518864.03,,
2024-12-19 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-18 00:00:00,,0,-20068247.97,21509952,1441704.03,,
2024-12-20 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-19 00:00:00,,0,-20068247.97,21434987,1366739.03,,
2024-12-23 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-20 00:00:00,,0,-20068247.97,20781112,712864.03,,
2024-12-24 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-23 00:00:00,,0,-20068247.97,20868048,799800.03,,
2024-12-26 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-24 00:00:00,,0,-20068247.97,20791374,723126.03,,
2024-12-27 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-26 00:00:00,,0,-20068247.97,20926756,858508.03,,
2024-12-30 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-27 00:00:00,,0,-20068247.97,20957145,888897.03,,
2024-12-31 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-30 00:00:00,,0,-20068247.97,20925222,856974.03,,
2025-01-01 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-31 00:00:00,,0,-20068247.97,21049316,981068.03,,
2025-01-02 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-01 00:00:00,,0,-20068247.97,21085781,1017533.03,,
2025-01-03 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-02 00:00:00,,0,-20068247.97,21401709,1333461.03,,
2025-01-06 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-03 00:00:00,,0,-20068247.97,21223091,1154843.03,,
2025-01-07 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-06 00:00:00,,0,-20068247.97,20612897,544649.03,,
2025-01-08 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-07 00:00:00,,0,-20068247.97,20753023,684775.03,,
2025-01-09 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-08 00:00:00,,0,-20068247.97,20346572,278324.03,,
2025-01-10 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-09 00:00:00,,0,-20068247.97,20138703,70455.03,,
2025-01-13 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-10 00:00:00,,0,-20068247.97,19796424,-271823.97,,
2025-01-14 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-13 00:00:00,,0,-20068247.97,18997324,-1070923.97,,
2025-01-15 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-14 00:00:00,,0,-20068247.97,19309575,-758672.97,,
2025-01-16 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-15 00:00:00,,0,-20068247.97,19340730,-727517.97,,
2025-01-17 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-16 00:00:00,,0,-20068247.97,19345472,-722775.97,,
2025-01-20 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-17 00:00:00,,0,-20068247.97,19466386,-601861.97,,
2025-01-21 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-20 00:00:00,,0,-20068247.97,19546701,-521546.97,,
2025-01-22 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-21 00:00:00,,0,-20068247.97,18832632,-1235615.97,,
2025-01-23 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-22 00:00:00,,0,-20068247.97,18645379,-1422868.97,,
