,,,,dr,dr,net,holding,p&l,,,
2025-01-03,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-02,20063987.7,0,-20063987.7,20272262,208274.3,,,
2025-01-06,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-03,,0,-20063987.7,20154150,90162.3,,,
2025-01-07,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-06,,0,-20063987.7,19477310,-586677.7,,,
2025-01-08,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-07,,0,-20063987.7,19602556,-461431.7,,,
2025-01-09,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-08,,0,-20063987.7,19166293,-897694.7,,,
2025-01-10,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-09,,0,-20063987.7,18741200,-1322787.7,,,
2025-01-13,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-10,,0,-20063987.7,18269488,-1794499.7,,,
2025-01-14,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-13,,0,-20063987.7,17439136,-2624851.7,,,
2025-01-15,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-14,,0,-20063987.7,17814808,-2249179.7,,,
2025-01-16,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-15,,0,-20063987.7,18077302,-1986685.7,,,
2025-01-17,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-16,,0,-20063987.7,18179033,-1884954.7,,,
2025-01-20,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-17,,0,-20063987.7,18129827,-1934160.7,,,
2025-01-21,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-20,,0,-20063987.7,18165273,-1898714.7,,,
2025-01-22,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-21,,0,-20063987.7,17288042,-2775945.7,,,
2025-01-23,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-22,,0,-20063987.7,17110980,-2953007.7,,,
2025-01-24,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-23,,0,-20063987.7,17450947,-2613040.7,,,
2025-01-27,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-24,,0,-20063987.7,17129843,-2934144.7,,,
2025-01-28,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-27,,0,-20063987.7,16479652,-3584335.7,,,
2025-01-29,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-28,,0,-20063987.7,16200561,-3863426.7,,,
2025-01-30,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-29,,0,-20063987.7,16730180,-3333807.7,,,
2025-01-31,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-30,,0,-20063987.7,16356072,-3707915.7,,,
2025-02-01,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-01-31,,0,-20063987.7,16709689,-3354298.7,,,
2025-02-03,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-01,,0,-20063987.7,16774139,-3289848.7,,,
2025-02-04,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-03,,0,-20063987.7,16653473,-3410514.7,,,
2025-02-05,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-04,,0,-20063987.7,16969347,-3094640.7,,,
2025-02-06,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-05,,0,-20063987.7,17322097,-2741890.7,,,
2025-02-07,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-06,,0,-20063987.7,16946970,-3117017.7,,,
2025-02-10,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-07,,0,-20063987.7,17201627,-2862360.7,,,
2025-02-11,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-10,,0,-20063987.7,16701252,-3362735.7,,,
2025-02-12,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-11,,0,-20063987.7,16119461,-3944526.7,,,
2025-02-13,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-12,,0,-20063987.7,16124378,-3939609.7,,,
2025-02-14,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-13,,0,-20063987.7,16128171,-3935816.7,,,
2025-02-17,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-14,,0,-20063987.7,15625973,-4438014.7,,,
2025-02-18,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-17,,0,-20063987.7,15697892,-4366095.7,,,
2025-02-20,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-18,,0,-20063987.7,15608513,-4455474.7,,,
2025-02-20,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-19,,0,-20063987.7,15902717,-4161270.7,,,
2025-02-21,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-20,,0,-20063987.7,16139084,-3924903.7,,,
2025-02-24,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-21,,0,-20063987.7,15899433,-4164554.7,,,
2025-02-25,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-24,,0,-20063987.7,15680253,-4383734.7,,,
2025-02-27,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-25,,0,-20063987.7,15503391,-4560596.7,,,
2025-02-28,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-27,,0,-20063987.7,15239137,-4824850.7,,,
2025-03-03,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-02-28,,0,-20063987.7,14750574,-5313413.7,,,
2025-03-04,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-03,,0,-20063987.7,14745404,-5318583.7,,,
2025-03-05,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-04,,0,-20063987.7,14781016,-5282971.7,,,
2025-03-06,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-05,,0,-20063987.7,15108102,-4955885.7,,,
2025-03-07,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-06,,0,-20063987.7,15114352,-4949635.7,,,
2025-03-10,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-07,,0,-20063987.7,14936119,-5127868.7,,,
2025-03-11,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-10,,0,-20063987.7,14599919,-5464068.7,,,
2025-03-12,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-11,,0,-20063987.7,14738218,-5325769.7,,,
2025-03-13,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-12,,0,-20063987.7,14715871,-5348116.7,,,
2025-03-17,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-13,,0,-20063987.7,14629499,-5434488.7,,,
2025-03-18,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-17,,0,-20063987.7,14813748,-5250239.7,,,
2025-03-19,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-18,,0,-20063987.7,15321076,-4742911.7,,,
2025-03-20,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-19,,0,-20063987.7,15737312,-4326675.7,,,
2025-03-21,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-20,,0,-20063987.7,15771677,-4292310.7,,,
2025-03-24,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-21,,0,-20063987.7,16004827,-4059160.7,,,
2025-03-25,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-24,,0,-20063987.7,16173356,-3890631.7,,,
2025-03-26,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-25,,0,-20063987.7,15835896,-4228091.7,,,
2025-03-27,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-26,,0,-20063987.7,15670061,-4393926.7,,,
2025-03-28,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-27,,0,-20063987.7,15876539,-4187448.7,,,
2025-04-02,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-03-28,,0,-20063987.7,15963759,-4100228.7,,,
2025-04-02,Settlement Posting-NG5002,DLV2-0301-NG5002/HPC39_8,2025-04-01,,0,-20063987.7,15776175,-4287812.7,,,
2025-04-03,Settlement Posting-NG5064,DLV2-0304-NG5064/HPC39_8,2025-04-02,162389.72,0,-20226377.42,16231498,-3994879.42,,,
2025-04-04,Settlement Posting-NG5064,DLV2-0304-NG5064/HPC39_8,2025-04-03,,0,-20226377.42,16190827,-4035550.42,,,
2025-04-07,Settlement Posting-NG5064,DLV2-0304-NG5064/HPC39_8,2025-04-04,,0,-20226377.42,15642204,-4584173.42,,,
2025-04-08,Settlement Posting-NG5064,DLV2-0304-NG5064/HPC39_8,2025-04-07,,0,-20226377.42,15053204,-5173173.42,,,
