DATE,NARRATION,,VALUE DATE,DR,CR,NET
2025-09-03 00:00:00,Daily Future MTM Bill (NFO) 02-09-2025,FDLY/HPC39_5-0209,2025-09-02 00:00:00,52109,0,-52109
2025-09-04 00:00:00,Daily Future MTM Bill (NFO) 03-09-2025,FDLY/HPC39_5-0309,2025-09-03 00:00:00,0,36390,-15719
2025-09-09 00:00:00,Daily Future MTM Bill (NFO) 04-09-2025,FDLY/HPC39_5-0409,2025-09-04 00:00:00,0,4320,-11399
2025-09-09 00:00:00,Daily Future MTM Bill (NFO) 05-09-2025,FDLY/HPC39_5-0509,2025-09-05 00:00:00,0,6060,-5339
2025-09-09 00:00:00,Daily Future MTM Bill (NFO) 08-09-2025,FDLY/HPC39_5-0809,2025-09-08 00:00:00,0,13500,8161
2025-09-10 00:00:00,Daily Future MTM Bill (NFO) 09-09-2025,FDLY/HPC39_5-0909,2025-09-09 00:00:00,0,17280,25441
2025-09-11 00:00:00,Daily Future MTM Bill (NFO) 10-09-2025,FDLY/HPC39_5-1009,2025-09-10 00:00:00,0,36600,62041
2025-09-12 00:00:00,Daily Future MTM Bill (NFO) 11-09-2025,FDLY/HPC39_5-1109,2025-09-11 00:00:00,0,9660,71701
2025-09-15 00:00:00,Daily Future MTM Bill (NFO) 12-09-2025,FDLY/HPC39_5-1209,2025-09-12 00:00:00,0,30150,101851
2025-09-16 00:00:00,Daily Future MTM Bill (NFO) 15-09-2025,FDLY/HPC39_5-1509,2025-09-15 00:00:00,12090,0,89761
2025-09-17 00:00:00,Daily Future MTM Bill (NFO) 16-09-2025,FDLY/HPC39_5-1609,2025-09-16 00:00:00,0,50010,139771
2025-09-18 00:00:00,Daily Future MTM Bill (NFO) 17-09-2025,FDLY/HPC39_5-1709,2025-09-17 00:00:00,0,27600,167371
2025-09-19 00:00:00,Daily Future MTM Bill (NFO) 18-09-2025,FDLY/HPC39_5-1809,2025-09-18 00:00:00,0,26250,193621
2025-09-22 00:00:00,Daily Future MTM Bill (NFO) 19-09-2025,FDLY/HPC39_5-1909,2025-09-19 00:00:00,29910,0,163711
2025-09-23 00:00:00,Daily Future MTM Bill (NFO) 22-09-2025,FDLY/HPC39_5-2209,2025-09-22 00:00:00,40050,0,123661
2025-09-24 00:00:00,Daily Future MTM Bill (NFO) 23-09-2025,FDLY/HPC39_5-2309,2025-09-23 00:00:00,6570,0,117091
2025-09-25 00:00:00,Daily Future MTM Bill (NFO) 24-09-2025,FDLY/HPC39_5-2409,2025-09-24 00:00:00,43170,0,73921
2025-09-26 00:00:00,Daily Future MTM Bill (NFO) 25-09-2025,FDLY/HPC39_5-2509,2025-09-25 00:00:00,43260,0,30661
2025-09-29 00:00:00,Daily Future MTM Bill (NFO) 26-09-2025,FDLY/HPC39_5-2609,2025-09-26 00:00:00,83340,0,-52679
2025-09-30 00:00:00,Daily Future MTM Bill (NFO) 29-09-2025,FDLY/HPC39_5-2909,2025-09-29 00:00:00,3396.93,0,-56075.93
2025-10-01 00:00:00,Daily Future MTM Bill (NFO) 30-09-2025,FDLY/HPC39_5-3009,2025-09-30 00:00:00,9150,0,-65225.93
2025-10-03 00:00:00,Daily Future MTM Bill (NFO) 01-10-2025,FDLY/HPC39_5-0110,2025-10-01 00:00:00,0,53790,-11435.93
2025-10-06 00:00:00,Daily Future MTM Bill (NFO) 03-10-2025,FDLY/HPC39_5-0310,2025-10-03 00:00:00,0,13140,1704.07
2025-10-07 00:00:00,Daily Future MTM Bill (NFO) 06-10-2025,FDLY/HPC39_5-0610,2025-10-06 00:00:00,0,53040,54744.07
2025-10-08 00:00:00,Daily Future MTM Bill (NFO) 07-10-2025,FDLY/HPC39_5-0710,2025-10-07 00:00:00,0,12570,67314.07
2025-10-09 00:00:00,Daily Future MTM Bill (NFO) 08-10-2025,FDLY/HPC39_5-0810,2025-10-08 00:00:00,32520,0,34794.07
2025-10-10 00:00:00,Daily Future MTM Bill (NFO) 09-10-2025,FDLY/HPC39_5-0910,2025-10-09 00:00:00,0,46590,81384.07
2025-10-13 00:00:00,Daily Future MTM Bill (NFO) 10-10-2025,FDLY/HPC39_5-1010,2025-10-10 00:00:00,0,41130,122514.07
2025-10-14 00:00:00,Daily Future MTM Bill (NFO) 13-10-2025,FDLY/HPC39_5-1310,2025-10-13 00:00:00,28230,0,94284.07
2025-10-15 00:00:00,Daily Future MTM Bill (NFO) 14-10-2025,FDLY/HPC39_5-1410,2025-10-14 00:00:00,33330,0,60954.07
2025-10-16 00:00:00,Daily Future MTM Bill (NFO) 15-10-2025,FDLY/HPC39_5-1510,2025-10-15 00:00:00,0,64110,125064.07
2025-10-17 00:00:00,Daily Future MTM Bill (NFO) 16-10-2025,FDLY/HPC39_5-1610,2025-10-16 00:00:00,0,71340,196404.07
