Date,Narration,Bill No,Value Date,Debit,Credit,Premimum,Net,nifty  29/12/26  26000 pe,390.0
26-09-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,25-09-2024,866136,0,,,,
22-10-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,21-10-2024,866136,0,996525,130389,,20000000.0
23-10-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,22-10-2024,866136,0,1059525,193389,,769.2307692
24-10-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,23-10-2024,866136,0,1053600,187464,,30.76923077
25-10-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,24-10-2024,866136,0,1026607.5,160471.5,,
28-10-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,25-10-2024,866136,0,1087912.5,221776.5,,
29-10-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,28-10-2024,866136,0,1044337.5,178201.5,,
30-10-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,29-10-2024,866136,0,1003200,137064,,
31-10-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,30-10-2024,866136,0,1032487.5,166351.5,,
2024-01-11 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,31-10-2024,866136,0,1065187.5,199051.5,,
2024-04-11 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-01-11 00:00:00,866136,0,1063350,197214,,
2024-05-11 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-04-11 00:00:00,866136,0,1154850,288714,,
2024-06-11 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-05-11 00:00:00,866136,0,1093762.5,227626.5,,
2024-07-11 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-06-11 00:00:00,866136,0,985837.5,119701.5,,
2024-08-11 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-07-11 00:00:00,866136,0,1043625,177489,,
2024-11-11 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-08-11 00:00:00,866136,0,1053300,187164,,
2024-12-11 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-11-11 00:00:00,866136,0,1038562.5,172426.5,,
13-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-12-11 00:00:00,866136,0,1132200,266064,,
14-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,13-11-2024,866136,0,1215112.5,348976.5,,
18-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,14-11-2024,866136,0,1221300,355164,,
19-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,18-11-2024,866136,0,1267162.5,401026.5,,
21-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,19-11-2024,866136,0,1286400,420264,,
22-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,21-11-2024,866136,0,1315200,449064,,
25-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,22-11-2024,866136,0,1120725,254589,,
26-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,25-11-2024,866136,0,967050,100914,,
27-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,26-11-2024,866136,0,981300,115164,,
28-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,27-11-2024,866136,0,932512.5,66376.5,,
29-11-2024,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,28-11-2024,866136,0,1046887.5,180751.5,,
2024-02-12 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,29-11-2024,866136,0,989175,123039,,
2024-03-12 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-02-12 00:00:00,866136,0,945225,79089,,
2024-04-12 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-03-12 00:00:00,866136,0,907687.5,41551.5,,
2024-05-12 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-04-12 00:00:00,866136,0,916237.5,50101.5,,
2024-06-12 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-05-12 00:00:00,866136,0,843975,-22161,,
2024-09-12 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-06-12 00:00:00,866136,0,832200,-33936,,
2024-12-10 00:00:00,Option Premium Bill (NFO) 25-09-2024,OPTDLY/HPC39_5-2509,2024-12-09 00:00:00,866136,0,853050,-13086,,
