,,,,dr,dr,net,Actual holding,p&l,Backtest Portfolio
18-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,14-11-2024,20068247.97,0,-20068247.97,19929592,-138655.9699999988,20000000
19-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,18-11-2024,20068247.97,0,-20068247.97,19887263,-180984.9699999988,20000000
21-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,19-11-2024,20068247.97,0,-20068247.97,19979067,-89180.96999999881,19990298
22-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,21-11-2024,20068247.97,0,-20068247.97,19967609,-100638.96999999881,20327561
25-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,22-11-2024,20068247.97,0,-20068247.97,20301562,233314.0300000012,20675479
26-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,25-11-2024,20068247.97,0,-20068247.97,20693123,624875.0300000012,20562196
27-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,26-11-2024,20068247.97,0,-20068247.97,20578829,510581.0300000012,20664757
28-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,27-11-2024,20068247.97,0,-20068247.97,20685180,616932.0300000012,20499927
29-11-2024,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,28-11-2024,20068247.97,0,-20068247.97,20529503,461255.0300000012,20687180
2024-02-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,29-11-2024,20068247.97,0,-20068247.97,20710214,641966.0300000012,21012708
2024-03-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-02-12 00:00:00,20068247.97,0,-20068247.97,21040888,972640.0300000012,21147468
2024-04-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-03-12 00:00:00,20068247.97,0,-20068247.97,21196013,1127765.0300000012,21172274
2024-05-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-04-12 00:00:00,20068247.97,0,-20068247.97,21236088,1167840.0300000012,21282038
2024-06-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-05-12 00:00:00,20068247.97,0,-20068247.97,21236088,1167840.0300000012,21494359
2024-09-12 00:00:00,Settlement Posting-NG4217,DLV1-1811-NG4217/HPC39_7,2024-06-12 00:00:00,20068247.97,0,-20068247.97,21619032,1550784.0300000012,21454899
2024-12-10 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-09 00:00:00,20068247.97,0,-20068247.97,21590420,1522172.0300000012,21449576
2024-12-11 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2024-12-10 00:00:00,20068247.97,0,-20068247.97,21589440,1521192.0300000012,21563192
