Date,Narration,Bill No,Value Date,Debit,Credit,Premimum,Net,nifty 29/12/26   26000PE,845.0
18-11-2024,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,14-11-2024,546612.1,0,544731.25,-1880.85,,
19-11-2024,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,18-11-2024,546612.1,0,583800,37187.9,,
21-11-2024,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,19-11-2024,546612.1,0,580518.75,33906.65,,
22-11-2024,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,21-11-2024,546612.1,0,640981.25,94369.15,,
25-11-2024,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,22-11-2024,546612.1,0,478756.25,-67855.85,,
26-11-2024,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,25-11-2024,546612.1,0,371525,-175087.1,,
27-11-2024,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,26-11-2024,546612.1,0,378656.25,-167955.85,,
28-11-2024,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,27-11-2024,546612.1,0,341381.25,-205230.85,,
29-11-2024,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,28-11-2024,546612.1,0,442443.75,-104168.35,,
2024-02-12 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,29-11-2024,546612.1,0,381237.5,-165374.6,,
2024-03-12 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-02-12 00:00:00,546612.1,0,359231.25,-187380.85,,
2024-04-12 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-03-12 00:00:00,546612.1,0,323312.5,-223299.6,,
2024-05-12 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-04-12 00:00:00,546612.1,0,307300,-239312.1,,
2024-06-12 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-05-12 00:00:00,546612.1,0,273918.75,-272693.35,,
2024-09-12 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-06-12 00:00:00,546612.1,0,271918.25,-274693.85,,
2024-12-10 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-09 00:00:00,546612.1,0,287393.75,-259218.35,,
2024-12-11 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-10 00:00:00,546612.1,0,276325,-270287.1,,
2024-12-12 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-11 00:00:00,546612.1,0,262325,-284287.1,,
2024-12-13 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-12 00:00:00,546612.1,0,271381.25,-275230.85,,
2024-12-16 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-13 00:00:00,546612.1,0,238481.25,-308130.85,,
2024-12-17 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-16 00:00:00,546612.1,0,258868.75,-287743.35,,
2024-12-18 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-17 00:00:00,546612.1,0,322043.75,-224568.35,,
2024-12-19 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-18 00:00:00,546612.1,0,353893.75,-192718.35,,
2024-12-20 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-19 00:00:00,546612.1,0,416587.5,-130024.6,,
2024-12-23 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-20 00:00:00,546612.1,0,559606.25,12994.15,,
2024-12-24 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-23 00:00:00,546612.1,0,486018.75,-60593.35,,
2024-12-26 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-24 00:00:00,546612.1,0,502075,-44537.1,,
2024-12-27 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-26 00:00:00,546612.1,0,479543.75,-67068.35,,
2024-12-30 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-27 00:00:00,546612.1,0,437281.25,-109330.85,,
2024-12-31 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2024-12-30 00:00:00,546612.1,0,490218.75,-56393.35,,
2025-01-01 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-12-31 00:00:00,546612.1,0,503693.75,-42918.35,,
2025-01-02 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-01 00:00:00,546612.1,0,475562.5,-71049.6,,
2025-01-03 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-02 00:00:00,546612.1,0,349606.25,-197005.85,,
2025-01-06 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-03 00:00:00,546612.1,0,389156.25,-157455.85,,
2025-01-07 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-06 00:00:00,546612.1,0,542937.5,-3674.6,,
2025-01-08 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-07 00:00:00,546612.1,0,505268.75,-41343.35,,
2025-01-09 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-08 00:00:00,546612.1,0,497743.75,-48868.35,,
2025-01-10 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-09 00:00:00,546612.1,0,556937.5,10325.4,,
2025-01-13 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-10 00:00:00,546612.1,0,625668.75,79056.65,,
2025-01-14 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-13 00:00:00,546612.1,0,805787.5,259175.4,,
2025-01-15 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-14 00:00:00,546612.1,0,727650,181037.9,,
2025-01-16 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-15 00:00:00,546612.1,0,723756,177143.9,,
2025-01-17 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-16 00:00:00,546612.1,0,674668,128055.9,,
2025-01-20 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-17 00:00:00,546612.1,0,726862,180249.9,,
2025-01-21 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-20 00:00:00,546612.1,0,664518,117905.9,,
2025-01-22 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-21 00:00:00,546612.1,0,822718,276105.9,,
2025-01-23 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-22 00:00:00,546612.1,0,754775,208162.9,,
2025-01-24 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-23 00:00:00,546612.1,0,722006,175393.9,,
2025-01-27 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-24 00:00:00,546612.1,0,798393,251780.9,,
2025-01-28 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-27 00:00:00,546612.1,0,971468,424855.9,,
2025-01-29 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-28 00:00:00,546612.1,0,887862,341249.9,,
2025-01-30 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-29 00:00:00,546612.1,0,793450,246837.9,,
2025-01-31 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-30 00:00:00,546612.1,0,685081,138468.9,,
2025-02-01 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-01-31 00:00:00,546612.1,0,557243,10630.9,,
2025-02-03 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-01 00:00:00,546612.1,0,548493,1880.9,,
2025-02-04 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-03 00:00:00,546612.1,0,607512,60899.9,,
2025-02-05 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-04 00:00:00,546612.1,0,433431,-113181.1,,
2025-02-06 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-05 00:00:00,546612.1,0,433518,-113094.1,,
2025-02-07 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-06 00:00:00,546612.1,0,468650,-77962.1,,
2025-02-10 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-07 00:00:00,546612.1,0,489912,-56700.1,,
2025-02-11 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-10 00:00:00,546612.1,0,565512,18899.9,,
2025-02-12 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-11 00:00:00,546612.1,0,748256,201643.9,,
2025-02-13 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-12 00:00:00,546612.1,0,756918,210305.9,,
2025-02-14 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-13 00:00:00,546612.1,0,775031,228418.9,,
2025-02-17 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-14 00:00:00,546612.1,0,845731,299118.9,,
2025-02-18 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-17 00:00:00,546612.1,0,816681,270068.9,,
2025-02-19 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-18 00:00:00,546612.1,0,856756.25,310144.15,,
2025-02-20 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-19 00:00:00,546612.1,0,852425,305812.9,,
2025-02-21 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-20 00:00:00,546612.1,0,853737,307124.9,,
2025-02-24 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-21 00:00:00,546612.1,0,937081,390468.9,,
2025-02-25 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-24 00:00:00,546612.1,0,1103681,557068.9,,
2025-02-27 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-25 00:00:00,546612.1,0,1120612,573999.9,,
2025-02-28 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-27 00:00:00,546612.1,0,1150537,603924.9,,
2025-03-03 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-02-28 00:00:00,546612.1,0,1498743,952130.9,,
2025-03-04 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-03-03 00:00:00,546612.1,0,1517950,971337.9,,
2025-03-05 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-03-04 00:00:00,546612.1,0,1572331,1025718.9,,
2025-03-06 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-03-05 00:00:00,546612.1,0,1362681,816068.9,,
2025-03-07 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-03-06 00:00:00,546612.1,0,1201025,654412.9,,
2025-03-10 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-03-07 00:00:00,546612.1,0,1183787,637174.9,,
2025-03-11 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-03-10 00:00:00,546612.1,0,1291981,745368.9,,
2025-03-12 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-03-11 00:00:00,546612.1,0,1253700,707087.9,,
2025-03-13 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-03-12 00:00:00,546612.1,0,1282793,736180.9,,
2025-03-17 00:00:00,Option Premium Bill (NFO) 14-11-2024,OPTDLY/HPC39_7-1411,2025-03-13 00:00:00,546612.1,0,1357825,811212.9,,
