Date,Narration,Bill No,Value Date,Debit,Credit,Premimum,Net,nifty 26/12/26   26000 PE,845.0
2025-01-03 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-02 00:00:00,1211624.65,0,1214280,2655.35,,
2025-01-06 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-03 00:00:00,1211624.65,0,1275345,63720.35,,
2025-01-07 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-06 00:00:00,1211624.65,0,1476090,264465.35,,
2025-01-08 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-07 00:00:00,1211624.65,0,1476900,265275.35,,
2025-01-09 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-08 00:00:00,1211624.65,0,1451655,240030.35,,
2025-01-10 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-09 00:00:00,1211624.65,0,1515600,303975.35,,
2025-01-13 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-10 00:00:00,1211624.65,0,1581390,369765.35,,
2025-01-14 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-13 00:00:00,1211624.65,0,1736235,524610.35,,
2025-01-15 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-14 00:00:00,1211624.65,0,1764270,552645.35,,
2025-01-16 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-15 00:00:00,1211624.65,0,1704105,492480.35,,
2025-01-17 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-16 00:00:00,1211624.65,0,1628190,416565.35,,
2025-01-20 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-17 00:00:00,1211624.65,0,1680795,469170.35,,
2025-01-21 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-20 00:00:00,1211624.65,0,1633455,421830.35,,
2025-01-22 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-21 00:00:00,1211624.65,0,1797345,585720.35,,
2025-01-23 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-22 00:00:00,1211624.65,0,1765800,554175.35,,
2025-01-24 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-23 00:00:00,1211624.65,0,1719000,507375.35,,
2025-01-27 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-24 00:00:00,1211624.65,0,1794330,582705.35,,
2025-01-28 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-27 00:00:00,1211624.65,0,1966770,755145.35,,
2025-01-29 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-28 00:00:00,1211624.65,0,1884870,673245.35,,
2025-01-30 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-29 00:00:00,1211624.65,0,1763865,552240.35,,
2025-01-31 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-30 00:00:00,1211624.65,0,1658925,447300.35,,
2025-02-01 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-01-31 00:00:00,1211624.65,0,1539450,327825.35,,
2025-02-03 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-01 00:00:00,1211624.65,0,1548495,336870.35,,
2025-02-04 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-03 00:00:00,1211624.65,0,1610370,398745.35,,
2025-02-05 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-04 00:00:00,1211624.65,0,1451610,239985.35,,
2025-02-06 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-05 00:00:00,1211624.65,0,1442700,231075.35,,
2025-02-07 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-06 00:00:00,1211624.65,0,1498545,286920.35,,
2025-02-10 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-07 00:00:00,1211624.65,0,1598445,386820.35,,
2025-02-11 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-10 00:00:00,1211624.65,0,1642050,430425.35,,
2025-02-11 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-11 00:00:00,1211624.65,0,1816560,604935.35,,
2025-02-13 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-12 00:00:00,1211624.65,0,1814850,603225.35,,
2025-02-14 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-13 00:00:00,1211624.65,0,1805535,593910.35,,
2025-02-17 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-14 00:00:00,1211624.65,0,1850175,638550.35,,
2025-02-18 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-17 00:00:00,1211624.65,0,1829565,617940.35,,
2025-02-19 00:00:00,Option Premium Bill (NFO) 02-01-2025,OPTDLY/HPC39_8-0201,2025-02-18 00:00:00,1211624.65,0,1885410,673785.35,,
