Money Allocated,10000000,416.6666667,6.41025641,7 lot,25000_NIFTY_PE,455,Expiry - 29-Dec-2026,,455@955,,,,,,
,,Amol Ji,,,,,Vishal Ji,,,,,,,,
Symbol,targetWeight,currentPrice,currentQty,targetQty,action,actionQty,Buy/Sell Qty,Price,Value,NET_QTY,,,,,
BANDHANBNK,0.05,206.96,0,2416,BUY,2416,2416,207.98,502479.68,2416,,500015.36,0.04999769863,,#NAME?
CREDITACC,0.05,1408.2,0,355,BUY,355,355,1394.8,495154,355,,499911.0,0.04998726343,,
DEEPAKFERT,0.05,1590,0,314,BUY,314,314,1600,502400,314,,499260.0,0.04992216842,,
GESHIP,0.05,1477,0,339,BUY,339,339,1500,508500,339,,500703.0,0.05006645735,,
GPIL,0.05,275.8,0,1813,BUY,1813,1813,274.85,498303.05,1813,,500025.4,0.04999870255,,
HINDALCO,0.05,1015.9,0,492,BUY,492,492,991.75,487941,492,,499822.8,0.0499784441,,
IDFCFIRSTB,0.05,80.55,0,6207,BUY,6207,6207,79.41,492897.87,6207,,499973.85,0.04999354795,,
IRB,0.05,21.7,0,23041,BUY,23041,23041,21.55,496533.55,23041,,499989.7,0.04999513282,,
JINDALSTEL,0.05,1135,0,441,BUY,441,441,1106.9,488142.9,441,,500535.0,0.05004965864,,
LLOYDSME,0.05,1787.9,0,280,BUY,280,280,1783.6,499408,280,,500612.0,0.05005735805,,
MANAPPURAM,0.05,328.35,0,1523,BUY,1523,1523,323,491929,1523,,500077.05,0.05000386715,,
MOTILALOFS,0.05,948.95,0,527,BUY,527,527,945.92,498499.84,527,,500096.65,0.050005827,,
NIACL,0.05,212.5,0,2353,BUY,2353,2353,200.96,472858.88,2353,,500012.5,0.04999741265,,
OIL,0.05,422.5,0,1183,BUY,1183,1183,418.15,494671.45,1183,,499817.5,0.04997791415,,
ONGC,0.05,245.6,0,2036,BUY,2036,2036,245.25,499329,2036,,500041.6,0.05000032243,,
PNB,0.05,109.7,0,4558,BUY,4558,4558,108.04,492446.32,4558,,500012.6,0.04999742265,,
REDINGTON,0.05,280,0,1786,BUY,1786,1786,279.9,499901.4,1786,,500080.0,0.05000416213,,
TATASTEEL,0.05,198.8,0,2515,BUY,2515,2515,196.46,494096.9,2515,,499982.0,0.04999436288,,
UPL,0.05,604.3,0,827,BUY,827,827,604.38,499822.26,827,,499756.1,0.04997177462,,
VEDL,0.05,305.65,0,1636,BUY,1636,1636,282.9,462824.4,1636,,500043.4,0.05000050241,,
,,,,,,,,,9878139.5,0,,10000767.51,,,
